"Wavelength, µm",n,k
0.217,2.8500,0.739
0.218,2.8500,0.73
0.219,2.8400,0.722
0.219,2.8300,0.714
0.220,2.8300,0.706
0.221,2.8200,0.699
0.221,2.8200,0.691
0.222,2.8100,0.684
0.223,2.8100,0.677
0.224,2.8000,0.671
0.224,2.8000,0.664
0.225,2.7900,0.658
0.226,2.7900,0.651
0.226,2.7800,0.645
0.227,2.7800,0.639
0.228,2.7700,0.633
0.229,2.7700,0.628
0.229,2.7600,0.622
0.230,2.7600,0.617
0.231,2.7500,0.612
0.232,2.7500,0.607
0.232,2.7400,0.602
0.233,2.7400,0.597
0.234,2.7300,0.592
0.235,2.7300,0.587
0.235,2.7200,0.583
0.236,2.7200,0.579
0.237,2.7100,0.574
0.238,2.7100,0.57
0.239,2.7100,0.566
0.239,2.7000,0.562
0.240,2.7000,0.558
0.241,2.6900,0.554
0.242,2.6900,0.55
0.243,2.6900,0.547
0.244,2.6800,0.543
0.244,2.6800,0.54
0.245,2.6800,0.536
0.246,2.6700,0.533
0.247,2.6700,0.53
0.248,2.6600,0.526
0.249,2.6600,0.523
0.250,2.6600,0.52
0.250,2.6500,0.517
0.251,2.6500,0.514
0.252,2.6500,0.511
0.253,2.6500,0.508
0.254,2.6400,0.506
0.255,2.6400,0.503
0.256,2.6400,0.5
0.257,2.6300,0.497
0.258,2.6300,0.495
0.259,2.6300,0.492
0.260,2.6300,0.489
0.261,2.6200,0.487
0.262,2.6200,0.484
0.263,2.6200,0.482
0.264,2.6200,0.48
0.265,2.6100,0.477
0.266,2.6100,0.475
0.267,2.6100,0.472
0.268,2.6100,0.47
0.269,2.6100,0.468
0.270,2.6000,0.465
0.271,2.6000,0.463
0.272,2.6000,0.461
0.273,2.6000,0.459
0.274,2.6000,0.456
0.275,2.6000,0.454
0.276,2.5900,0.452
0.277,2.5900,0.45
0.278,2.5900,0.447
0.279,2.5900,0.445
0.280,2.5900,0.443
0.281,2.5900,0.441
0.283,2.5900,0.438
0.284,2.5900,0.436
0.285,2.5800,0.434
0.286,2.5800,0.432
0.287,2.5800,0.429
0.288,2.5800,0.427
0.289,2.5800,0.425
0.291,2.5800,0.423
0.292,2.5800,0.42
0.293,2.5800,0.418
0.294,2.5800,0.416
0.295,2.5800,0.413
0.297,2.5800,0.411
0.298,2.5800,0.408
0.299,2.5800,0.406
0.301,2.5800,0.403
0.302,2.5700,0.401
0.303,2.5700,0.398
0.304,2.5700,0.395
0.306,2.5700,0.393
0.307,2.5700,0.39
0.308,2.5700,0.387
0.310,2.5700,0.384
0.311,2.5700,0.381
0.312,2.5700,0.378
0.314,2.5700,0.375
0.315,2.5700,0.372
0.317,2.5700,0.369
0.318,2.5700,0.366
0.320,2.5700,0.362
0.321,2.5700,0.359
0.322,2.5700,0.355
0.324,2.5700,0.352
0.325,2.5700,0.348
0.327,2.5700,0.344
0.328,2.5700,0.34
0.330,2.5700,0.336
0.332,2.5700,0.332
0.333,2.5700,0.328
0.335,2.5700,0.323
0.336,2.5700,0.319
0.338,2.5700,0.314
0.339,2.5700,0.31
0.341,2.5700,0.305
0.343,2.5700,0.3
0.344,2.5700,0.296
0.346,2.5600,0.291
0.348,2.5600,0.286
0.350,2.5600,0.282
0.351,2.5500,0.278
0.353,2.5500,0.275
0.355,2.5400,0.273
0.357,2.5400,0.273
0.358,2.5300,0.276
0.360,2.5200,0.284
0.362,2.5200,0.299
0.364,2.5200,0.321
0.366,2.5400,0.344
0.368,2.5800,0.356
0.370,2.6300,0.341
0.372,2.6600,0.302
0.374,2.6700,0.257
0.376,2.6600,0.219
0.378,2.6500,0.191
0.380,2.6300,0.17
0.382,2.6200,0.155
0.384,2.6000,0.144
0.386,2.5900,0.135
