wl,n,k
0.5098,2.0694,8.32E-04
0.51139,2.069,8.23E-04
0.51298,2.0686,8.14E-04
0.51457,2.06821,8.05E-04
0.51616,2.06782,7.96E-04
0.51775,2.06743,7.88E-04
0.51934,2.06705,7.80E-04
0.52093,2.06667,7.71E-04
0.52252,2.0663,7.63E-04
0.52411,2.06593,7.55E-04
0.52569,2.06557,7.47E-04
0.52728,2.0652,7.40E-04
0.52887,2.06485,7.32E-04
0.53046,2.06449,7.25E-04
0.53205,2.06414,7.17E-04
0.53364,2.06379,7.10E-04
0.53523,2.06345,7.03E-04
0.53682,2.06311,6.96E-04
0.53841,2.06277,6.89E-04
0.54,2.06244,6.83E-04
0.54159,2.06211,6.76E-04
0.54318,2.06179,6.69E-04
0.54477,2.06146,6.63E-04
0.54636,2.06114,6.57E-04
0.54795,2.06083,6.50E-04
0.54954,2.06051,6.44E-04
0.55113,2.0602,6.38E-04
0.55272,2.0599,6.32E-04
0.55431,2.05959,6.26E-04
0.5559,2.05929,6.21E-04
0.55749,2.05899,6.15E-04
0.55908,2.0587,6.09E-04
0.56067,2.0584,6.04E-04
0.56226,2.05812,5.98E-04
0.56385,2.05783,5.93E-04
0.56544,2.05754,5.87E-04
0.56703,2.05726,5.82E-04
0.56861,2.05698,5.77E-04
0.5702,2.05671,5.72E-04
0.57179,2.05643,5.67E-04
0.57338,2.05616,5.62E-04
0.57497,2.0559,5.57E-04
0.57656,2.05563,5.52E-04
0.57815,2.05537,5.48E-04
0.57974,2.05511,5.43E-04
0.58133,2.05485,5.38E-04
0.58292,2.05459,5.34E-04
0.58451,2.05434,5.29E-04
0.5861,2.05409,5.25E-04
0.58768,2.05384,5.21E-04
0.58927,2.05359,5.16E-04
0.59086,2.05335,5.12E-04
0.59245,2.05311,5.08E-04
0.59404,2.05287,5.04E-04
0.59563,2.05263,5.00E-04
0.59722,2.05239,4.96E-04
0.59881,2.05216,4.92E-04
0.60039,2.05193,4.88E-04
0.60198,2.0517,4.84E-04
0.60357,2.05147,4.80E-04
0.60516,2.05125,4.77E-04
0.60675,2.05102,4.73E-04
0.60834,2.0508,4.69E-04
0.60993,2.05058,4.65E-04
0.61151,2.05037,4.62E-04
0.6131,2.05015,4.59E-04
0.61469,2.04994,4.55E-04
0.61628,2.04972,4.52E-04
0.61787,2.04951,4.48E-04
0.61946,2.04931,4.45E-04
0.62104,2.0491,4.42E-04
0.62263,2.0489,4.38E-04
0.62422,2.04869,4.35E-04
0.62581,2.04849,4.32E-04
0.6274,2.04829,4.29E-04
0.62898,2.0481,4.26E-04
0.63057,2.0479,4.23E-04
0.63216,2.04771,4.20E-04
0.63375,2.04751,4.17E-04
0.63533,2.04732,4.14E-04
0.63692,2.04713,4.11E-04
0.63851,2.04694,4.08E-04
0.6401,2.04676,4.05E-04
0.64168,2.04657,4.02E-04
0.64327,2.04639,3.99E-04
0.64486,2.04621,3.97E-04
0.64645,2.04603,3.94E-04
0.64803,2.04585,3.91E-04
0.64962,2.04567,3.89E-04
0.65121,2.0455,3.86E-04
0.6528,2.04532,3.84E-04
0.65438,2.04515,3.81E-04
0.65597,2.04498,3.78E-04
0.65756,2.04481,3.76E-04
0.65914,2.04464,3.73E-04
0.66073,2.04447,3.71E-04
0.66232,2.04431,3.69E-04
0.6639,2.04414,3.66E-04
0.66549,2.04398,3.64E-04
0.66708,2.04382,3.61E-04
0.66866,2.04365,3.59E-04
0.67025,2.04349,3.57E-04
0.67184,2.04334,3.55E-04
0.67342,2.04318,3.52E-04
0.67501,2.04302,3.50E-04
0.67659,2.04287,3.48E-04
0.67818,2.04272,3.46E-04
0.67977,2.04256,3.44E-04
0.68135,2.04241,3.42E-04
0.68294,2.04226,3.39E-04
0.68452,2.04211,3.37E-04
0.68611,2.04197,3.35E-04
0.6877,2.04182,3.33E-04
0.68928,2.04167,3.31E-04
0.69087,2.04153,3.29E-04
0.69245,2.04139,3.27E-04
0.69404,2.04124,3.26E-04
0.69562,2.0411,3.24E-04
0.69721,2.04096,3.22E-04
0.69879,2.04082,3.20E-04
0.70038,2.04069,3.18E-04
0.70196,2.04055,3.16E-04
0.70355,2.04041,3.14E-04
0.70513,2.04028,3.12E-04
0.70672,2.04015,3.11E-04
0.7083,2.04001,3.09E-04
0.70989,2.03988,3.07E-04
0.71147,2.03975,3.05E-04
0.71306,2.03962,3.04E-04
0.71464,2.03949,3.02E-04
0.71623,2.03936,3.00E-04
0.71781,2.03924,2.99E-04
0.7194,2.03911,2.97E-04
0.72098,2.03899,2.95E-04
0.72256,2.03886,2.94E-04
0.72415,2.03874,2.92E-04
0.72573,2.03862,2.91E-04
0.72732,2.03849,2.89E-04
0.7289,2.03837,2.87E-04
0.73048,2.03825,2.86E-04
0.73207,2.03813,2.84E-04
0.73365,2.03802,2.83E-04
0.73523,2.0379,2.81E-04
0.73682,2.03778,2.80E-04
0.7384,2.03767,2.79E-04
0.73998,2.03755,2.77E-04
0.74157,2.03744,2.76E-04
0.74315,2.03732,2.74E-04
0.74473,2.03721,2.73E-04
0.74631,2.0371,2.71E-04
0.7479,2.03699,2.70E-04
0.74948,2.03688,2.69E-04
0.75106,2.03677,2.67E-04
0.75264,2.03666,2.66E-04
0.75423,2.03655,2.64E-04
0.75581,2.03645,2.63E-04
0.75739,2.03634,2.62E-04
0.75897,2.03623,2.61E-04
0.76056,2.03613,2.59E-04
0.76214,2.03603,2.58E-04
0.76372,2.03592,2.57E-04
0.7653,2.03582,2.55E-04
0.76688,2.03572,2.54E-04
0.76846,2.03562,2.53E-04
0.77004,2.03551,2.52E-04
0.77163,2.03541,2.51E-04
0.77321,2.03532,2.49E-04
0.77479,2.03522,2.48E-04
0.77637,2.03512,2.47E-04
0.77795,2.03502,2.46E-04
0.77953,2.03492,2.45E-04
0.78111,2.03483,2.44E-04
0.78269,2.03473,2.43E-04
0.78427,2.03464,2.41E-04
0.78585,2.03454,2.40E-04
0.78743,2.03445,2.39E-04
0.78901,2.03436,2.38E-04
0.79059,2.03426,2.37E-04
0.79217,2.03417,2.36E-04
0.79375,2.03408,2.35E-04
0.79533,2.03399,2.34E-04
0.79691,2.0339,2.33E-04
0.79849,2.03381,2.32E-04
0.80007,2.03372,2.31E-04
0.80165,2.03363,2.30E-04
0.80323,2.03355,2.29E-04
0.80481,2.03346,2.28E-04
0.80639,2.03337,2.27E-04
0.80797,2.03329,2.26E-04
0.80955,2.0332,2.25E-04
0.81113,2.03312,2.24E-04
0.8127,2.03303,2.23E-04
0.81428,2.03295,2.22E-04
0.81586,2.03287,2.21E-04
0.81744,2.03278,2.20E-04
0.81902,2.0327,2.19E-04
0.82059,2.03262,2.18E-04
0.82217,2.03254,2.17E-04
0.82375,2.03246,2.16E-04
0.82533,2.03238,2.15E-04
0.82691,2.0323,2.14E-04
0.82848,2.03222,2.14E-04
0.83006,2.03214,2.13E-04
0.83164,2.03206,2.12E-04
0.83321,2.03198,2.11E-04
0.83479,2.03191,2.10E-04
0.83637,2.03183,2.09E-04
0.83794,2.03175,2.08E-04
0.83952,2.03168,2.07E-04
0.8411,2.0316,2.07E-04
0.84267,2.03153,2.06E-04
0.84425,2.03145,2.05E-04
0.84583,2.03138,2.04E-04
0.8474,2.0313,2.03E-04
0.84898,2.03123,2.03E-04
0.85055,2.03116,2.02E-04
0.85213,2.03108,2.01E-04
0.8537,2.03101,2.00E-04
0.85528,2.03094,1.99E-04
0.85686,2.03087,1.99E-04
0.85843,2.0308,1.98E-04
0.86001,2.03073,1.97E-04
0.86158,2.03066,1.96E-04
0.86315,2.03059,1.96E-04
0.86473,2.03052,1.95E-04
0.8663,2.03045,1.94E-04
0.86788,2.03039,1.93E-04
0.86945,2.03032,1.93E-04
0.87103,2.03025,1.92E-04
0.8726,2.03018,1.91E-04
0.87417,2.03012,1.91E-04
0.87575,2.03005,1.90E-04
0.87732,2.02998,1.89E-04
0.87889,2.02992,1.88E-04
0.88047,2.02985,1.88E-04
0.88204,2.02979,1.87E-04
0.88361,2.02973,1.86E-04
0.88519,2.02966,1.86E-04
0.88676,2.0296,1.85E-04
0.88833,2.02954,1.84E-04
0.8899,2.02947,1.84E-04
0.89148,2.02941,1.83E-04
0.89305,2.02935,1.82E-04
0.89462,2.02929,1.82E-04
0.89619,2.02922,1.81E-04
0.89776,2.02916,1.81E-04
0.89934,2.0291,1.80E-04
0.90091,2.02904,1.79E-04
0.90248,2.02898,1.79E-04
0.90405,2.02892,1.78E-04
0.90562,2.02886,1.77E-04
0.90719,2.02881,1.77E-04
0.90876,2.02875,1.76E-04
0.91033,2.02869,1.75E-04
0.9119,2.02863,1.75E-04
0.91347,2.02857,1.74E-04
0.91504,2.02851,1.74E-04
0.91661,2.02846,1.73E-04
0.91818,2.0284,1.73E-04
0.91975,2.02834,1.72E-04
0.92132,2.02829,1.72E-04
0.92289,2.02823,1.71E-04
0.92446,2.02818,1.70E-04
0.92603,2.02812,1.70E-04
0.9276,2.02807,1.69E-04
0.92917,2.02801,1.69E-04
0.93074,2.02796,1.68E-04
0.9323,2.0279,1.68E-04
0.93387,2.02785,1.67E-04
0.93544,2.0278,1.66E-04
0.93701,2.02774,1.66E-04
0.93858,2.02769,1.65E-04
0.94014,2.02764,1.65E-04
0.94171,2.02759,1.64E-04
0.94328,2.02753,1.64E-04
0.94485,2.02748,1.63E-04
0.94641,2.02743,1.63E-04
0.94798,2.02738,1.62E-04
0.94955,2.02733,1.62E-04
0.95111,2.02728,1.61E-04
0.95268,2.02723,1.61E-04
0.95425,2.02718,1.60E-04
0.95581,2.02713,1.60E-04
0.95738,2.02708,1.59E-04
0.95894,2.02703,1.59E-04
0.96051,2.02698,1.58E-04
0.96207,2.02693,1.58E-04
0.96364,2.02688,1.57E-04
0.9652,2.02684,1.57E-04
0.96677,2.02679,1.56E-04
0.96833,2.02674,1.56E-04
0.9699,2.02669,1.55E-04
0.97146,2.02665,1.55E-04
0.97303,2.0266,1.54E-04
0.97459,2.02655,1.54E-04
0.97616,2.02651,1.54E-04
0.97772,2.02646,1.53E-04
0.97928,2.02641,1.53E-04
0.98085,2.02637,1.52E-04
0.98241,2.02632,1.52E-04
0.98397,2.02628,1.52E-04
0.98554,2.02623,1.51E-04
0.9871,2.02619,1.51E-04
0.98866,2.02614,1.50E-04
0.99022,2.0261,1.50E-04
0.99179,2.02605,1.49E-04
0.99335,2.02601,1.49E-04
0.99491,2.02597,1.48E-04
0.99647,2.02592,1.48E-04
0.99803,2.02588,1.48E-04
0.99959,2.02584,1.47E-04
1.01061,2.02554,1.44E-04
1.014,2.02545,1.43E-04
1.0174,2.02536,1.42E-04
1.0208,2.02527,1.42E-04
1.02419,2.02518,1.41E-04
1.02759,2.0251,1.40E-04
1.03099,2.02501,1.39E-04
1.03439,2.02493,1.39E-04
1.03778,2.02484,1.38E-04
1.04118,2.02476,1.37E-04
1.04458,2.02468,1.36E-04
1.04798,2.0246,1.35E-04
1.05138,2.02452,1.35E-04
1.05479,2.02444,1.34E-04
1.05819,2.02436,1.33E-04
1.06159,2.02428,1.32E-04
1.06499,2.02421,1.32E-04
1.06839,2.02413,1.31E-04
1.0718,2.02405,1.30E-04
1.0752,2.02398,1.30E-04
1.0786,2.02391,1.29E-04
1.08201,2.02383,1.28E-04
1.08541,2.02376,1.27E-04
1.08882,2.02369,1.27E-04
1.09223,2.02362,1.26E-04
1.09563,2.02355,1.26E-04
1.09904,2.02348,1.25E-04
1.10245,2.02341,1.24E-04
1.10585,2.02334,1.24E-04
1.10926,2.02327,1.23E-04
1.11267,2.0232,1.23E-04
1.11608,2.02314,1.22E-04
1.11949,2.02307,1.21E-04
1.1229,2.023,1.21E-04
1.12631,2.02294,1.20E-04
1.12972,2.02288,1.20E-04
1.13313,2.02281,1.19E-04
1.13654,2.02275,1.18E-04
1.13996,2.02269,1.18E-04
1.14337,2.02263,1.17E-04
1.14678,2.02256,1.17E-04
1.1502,2.0225,1.16E-04
1.15361,2.02244,1.16E-04
1.15702,2.02238,1.15E-04
1.16044,2.02232,1.14E-04
1.16385,2.02227,1.14E-04
1.16727,2.02221,1.13E-04
1.17069,2.02215,1.13E-04
1.1741,2.02209,1.13E-04
1.17752,2.02204,1.12E-04
1.18094,2.02198,1.12E-04
1.18436,2.02193,1.11E-04
1.18777,2.02187,1.11E-04
1.19119,2.02182,1.10E-04
1.19461,2.02176,1.10E-04
1.19803,2.02171,1.09E-04
1.20145,2.02165,1.09E-04
1.20487,2.0216,1.08E-04
1.20829,2.02155,1.08E-04
1.21172,2.0215,1.07E-04
1.21514,2.02145,1.07E-04
1.21856,2.0214,1.06E-04
1.22198,2.02135,1.06E-04
1.22541,2.0213,1.06E-04
1.22883,2.02125,1.05E-04
1.23225,2.0212,1.05E-04
1.23568,2.02115,1.04E-04
1.2391,2.0211,1.04E-04
1.24253,2.02105,1.03E-04
1.24596,2.021,1.03E-04
1.24938,2.02096,1.03E-04
1.25281,2.02091,1.02E-04
1.25624,2.02086,1.02E-04
1.25966,2.02082,1.01E-04
1.26309,2.02077,1.01E-04
1.26652,2.02073,1.01E-04
1.26995,2.02068,1.00E-04
1.27338,2.02064,9.97E-05
1.27681,2.02059,9.95E-05
1.28024,2.02055,9.90E-05
1.28367,2.02051,9.87E-05
1.2871,2.02046,9.82E-05
1.29054,2.02042,9.80E-05
1.29397,2.02038,9.75E-05
1.2974,2.02034,9.73E-05
1.30083,2.0203,9.70E-05
1.30427,2.02025,9.65E-05
1.3077,2.02021,9.63E-05
1.31114,2.02017,9.58E-05
1.31457,2.02013,9.55E-05
1.31801,2.02009,9.50E-05
1.32144,2.02005,9.48E-05
1.32488,2.02001,9.46E-05
1.32832,2.01997,9.41E-05
1.33175,2.01994,9.38E-05
1.33519,2.0199,9.36E-05
1.33863,2.01986,9.31E-05
1.34207,2.01982,9.28E-05
1.34551,2.01978,9.26E-05
1.34895,2.01975,9.23E-05
1.35239,2.01971,9.18E-05
1.35583,2.01967,9.16E-05
1.35927,2.01964,9.14E-05
1.36271,2.0196,9.11E-05
1.36615,2.01956,9.06E-05
1.36959,2.01953,9.04E-05
1.37303,2.01949,9.01E-05
1.37648,2.01946,8.99E-05
1.37992,2.01942,8.94E-05
1.38336,2.01939,8.91E-05
1.38681,2.01936,8.89E-05
1.39025,2.01932,8.86E-05
1.3937,2.01929,8.84E-05
1.39714,2.01925,8.82E-05
1.40059,2.01922,8.79E-05
1.40404,2.01919,8.74E-05
1.40748,2.01915,8.72E-05
1.41093,2.01912,8.69E-05
1.41438,2.01909,8.67E-05
1.41783,2.01906,8.64E-05
1.42128,2.01903,8.62E-05
1.42472,2.01899,8.59E-05
1.42817,2.01896,8.57E-05
1.43162,2.01893,8.54E-05
1.43508,2.0189,8.52E-05
1.43853,2.01887,8.49E-05
1.44198,2.01884,8.47E-05
1.44543,2.01881,8.45E-05
1.44888,2.01878,8.42E-05
1.45233,2.01875,8.40E-05
1.45579,2.01872,8.37E-05
1.45924,2.01869,8.35E-05
1.4627,2.01866,8.32E-05
1.46615,2.01863,8.30E-05
1.4696,2.0186,8.27E-05
1.47306,2.01858,8.25E-05
1.47652,2.01855,8.22E-05
1.47997,2.01852,8.20E-05
1.48343,2.01849,8.17E-05
1.48689,2.01846,8.15E-05
1.49034,2.01844,8.13E-05
1.4938,2.01841,8.10E-05
1.49726,2.01838,8.08E-05
1.50072,2.01835,8.05E-05
1.50418,2.01833,8.03E-05
1.50764,2.0183,8.00E-05
1.5111,2.01827,8.00E-05
1.51456,2.01825,7.98E-05
1.51802,2.01822,7.95E-05
1.52148,2.0182,7.93E-05
1.52494,2.01817,7.90E-05
1.52841,2.01815,7.88E-05
1.53187,2.01812,7.85E-05
1.53533,2.0181,7.83E-05
1.5388,2.01807,7.83E-05
1.54226,2.01805,7.80E-05
1.54573,2.01802,7.78E-05
1.54919,2.018,7.76E-05
1.55266,2.01797,7.73E-05
1.55612,2.01795,7.73E-05
1.55959,2.01792,7.71E-05
1.56306,2.0179,7.68E-05
1.56652,2.01788,7.66E-05
1.56999,2.01785,7.63E-05
1.57346,2.01783,7.63E-05
1.57693,2.01781,7.61E-05
1.5804,2.01778,7.58E-05
1.58387,2.01776,7.56E-05
1.58734,2.01774,7.53E-05
1.59081,2.01771,7.53E-05
1.59428,2.01769,7.51E-05
1.59775,2.01767,7.48E-05
1.60122,2.01765,7.46E-05
1.60469,2.01763,7.46E-05
1.60817,2.0176,7.43E-05
1.61164,2.01758,7.41E-05
1.61511,2.01756,7.41E-05
1.61859,2.01754,7.39E-05
1.62206,2.01752,7.36E-05
1.62554,2.0175,7.34E-05
1.62901,2.01748,7.34E-05
1.63249,2.01745,7.31E-05
1.63596,2.01743,7.29E-05
1.63944,2.01741,7.29E-05
1.64292,2.01739,7.26E-05
1.6464,2.01737,7.24E-05
1.64987,2.01735,7.24E-05
1.65335,2.01733,7.21E-05
1.65683,2.01731,7.19E-05
1.66031,2.01729,7.19E-05
1.66379,2.01727,7.16E-05
1.66727,2.01725,7.14E-05
1.67075,2.01723,7.14E-05
1.67423,2.01721,7.11E-05
1.67771,2.01719,7.09E-05
1.6812,2.01717,7.09E-05
1.68468,2.01716,7.06E-05
1.68816,2.01714,7.04E-05
