"Wavelength, µm","n","k"
2.7322,1.696,0.016
2.7397,1.697,0.017
2.7473,1.697,0.017
2.7548,1.697,0.018
2.7624,1.697,0.017
2.7701,1.697,0.016
2.7778,1.697,0.015
2.7855,1.697,0.016
2.7933,1.696,0.016
2.8011,1.696,0.016
2.809,1.695,0.016
2.8169,1.695,0.016
2.8249,1.695,0.016
2.8329,1.695,0.017
2.8409,1.695,0.017
2.849,1.695,0.016
2.8571,1.694,0.016
2.8653,1.694,0.016
2.8736,1.694,0.016
2.8818,1.694,0.017
2.8902,1.693,0.017
2.8986,1.693,0.016
2.907,1.693,0.016
2.9155,1.692,0.016
2.924,1.692,0.017
2.9326,1.692,0.017
2.9412,1.691,0.017
2.9499,1.691,0.016
2.9586,1.691,0.017
2.9674,1.69,0.017
2.9762,1.69,0.018
2.9851,1.69,0.018
2.994,1.69,0.018
3.003,1.69,0.018
3.012,1.69,0.018
3.0211,1.69,0.019
3.0303,1.689,0.018
3.0395,1.689,0.018
3.0488,1.689,0.017
3.0581,1.688,0.018
3.0675,1.688,0.019
3.0769,1.688,0.019
3.0864,1.688,0.018
3.096,1.687,0.017
3.1056,1.687,0.018
3.1153,1.686,0.019
3.125,1.686,0.02
3.1348,1.686,0.019
3.1447,1.687,0.019
3.1546,1.686,0.018
3.1646,1.686,0.019
3.1746,1.685,0.019
3.1847,1.685,0.019
3.1949,1.685,0.019
3.2051,1.684,0.019
3.2154,1.684,0.019
3.2258,1.684,0.02
3.2362,1.684,0.02
3.2468,1.684,0.019
3.2573,1.683,0.019
3.268,1.683,0.019
3.2787,1.683,0.02
3.2895,1.683,0.021
3.3003,1.683,0.02
3.3113,1.683,0.019
3.3223,1.683,0.019
3.3333,1.682,0.019
3.3445,1.682,0.02
3.3557,1.682,0.019
3.367,1.681,0.019
3.3784,1.681,0.018
3.3898,1.681,0.018
3.4014,1.68,0.019
3.413,1.68,0.019
3.4247,1.679,0.018
3.4364,1.678,0.018
3.4483,1.678,0.018
3.4602,1.678,0.019
3.4722,1.678,0.019
3.4843,1.677,0.018
3.4965,1.677,0.017
3.5088,1.676,0.017
3.5211,1.676,0.017
3.5336,1.675,0.018
3.5461,1.675,0.018
3.5587,1.674,0.017
3.5714,1.674,0.017
3.5842,1.673,0.017
3.5971,1.673,0.018
3.6101,1.672,0.018
3.6232,1.671,0.017
3.6364,1.67,0.017
3.6496,1.67,0.017
3.663,1.669,0.017
3.6765,1.669,0.018
3.69,1.668,0.018
3.7037,1.667,0.017
3.7175,1.667,0.017
3.7313,1.666,0.018
3.7453,1.665,0.019
3.7594,1.665,0.019
3.7736,1.665,0.018
3.7879,1.664,0.017
3.8023,1.663,0.018
3.8166,1.662,0.019
3.8314,1.661,0.019
3.8462,1.661,0.019
3.861,1.661,0.019
